A,B,Expected_Product,Predicted_Product,L6_g6,L6_p6,L6_g5,L6_p5,L6_g4,L6_p4,L6_g3,L6_p3,L6_g2,L8_7
10,6,60,60,0,0,0,1,0,1,0,1,0,0
10,7,70,70,0,0,0,1,1,0,0,0,0,0
10,8,80,80,0,1,0,0,0,1,0,0,0,0
10,9,90,90,0,1,0,0,0,1,0,1,0,0
10,10,100,100,0,1,0,1,0,0,0,0,0,0
10,11,110,110,0,1,0,1,0,0,0,1,0,0
10,12,120,120,0,1,0,1,0,1,0,1,0,0
10,13,130,130,0,1,0,1,1,0,0,0,0,1
10,14,140,140,0,1,1,0,0,0,0,1,0,1
10,15,150,150,0,1,1,0,0,1,0,0,0,1
11,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,11,11,0,0,0,0,0,0,0,1,0,0
11,2,22,22,0,0,0,0,0,1,0,0,0,0
11,3,33,33,0,0,0,0,0,1,0,1,1,0
11,4,44,44,0,0,0,1,0,0,0,1,0,0
11,5,55,55,0,0,0,1,0,1,0,0,0,0
11,6,66,66,0,0,0,1,0,1,1,0,0,0
11,7,77,77,0,0,0,1,1,0,0,1,0,0
11,8,88,88,0,1,0,0,0,1,0,1,0,0
11,9,99,99,0,1,0,0,1,0,0,0,0,0
11,10,110,110,0,1,0,1,0,0,0,1,0,0
11,11,121,121,0,1,0,1,0,1,0,0,1,0
11,12,132,132,0,1,0,1,1,0,0,0,0,1
11,13,143,143,0,1,0,1,1,0,0,1,0,1
11,14,154,154,0,1,1,0,0,1,0,1,0,1
11,15,165,165,0,1,1,0,0,1,1,0,0,1
12,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,12,12,0,0,0,0,0,0,0,1,0,0
12,2,24,24,0,0,0,0,0,1,0,1,0,0
12,3,36,36,0,0,0,0,1,0,0,0,0,0
12,4,48,48,0,0,0,1,0,1,0,0,0,0
12,5,60,60,0,0,0,1,0,1,0,1,0,0
12,6,72,72,0,0,1,0,0,0,0,1,0,0
12,7,84,84,0,0,1,0,0,1,0,0,0,0
12,8,96,96,0,1,0,1,0,0,0,0,0,0
12,9,108,108,0,1,0,1,0,0,0,1,0,0
12,10,120,120,0,1,0,1,0,1,0,1,0,0
12,11,132,132,0,1,0,1,1,0,0,0,0,1
12,12,144,144,1,0,0,0,0,1,0,0,0,1
12,13,156,156,1,0,0,0,0,1,0,1,0,1
12,14,168,168,1,0,0,1,0,0,0,1,0,1
12,15,180,180,1,0,0,1,0,1,0,0,0,1
13,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,13,13,0,0,0,0,0,0,0,1,0,0
13,2,26,26,0,0,0,0,0,1,0,1,0,0
13,3,39,39,0,0,0,0,1,0,0,0,0,0
13,4,52,52,0,0,0,1,0,1,0,0,0,0
13,5,65,65,0,0,0,1,0,1,1,0,0,0
13,6,78,78,0,0,1,0,0,0,0,1,0,0
13,7,91,91,0,0,1,0,0,1,0,1,0,0
13,8,104,104,0,1,0,1,0,0,0,1,0,0
13,9,117,117,0,1,0,1,0,1,0,0,0,0
13,10,130,130,0,1,0,1,1,0,0,0,0,1
13,11,143,143,0,1,0,1,1,0,0,1,0,1
13,12,156,156,1,0,0,0,0,1,0,1,0,1
13,13,169,169,1,0,0,0,1,0,0,1,0,1
13,14,182,182,1,0,0,1,0,1,0,0,0,1
13,15,195,195,1,0,0,1,0,1,1,0,0,1
14,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,14,14,0,0,0,0,0,0,0,1,0,0
14,2,28,28,0,0,0,0,0,1,0,1,0,0
14,3,42,42,0,0,0,0,1,0,0,1,0,0
14,4,56,56,0,0,0,1,0,1,0,1,0,0
14,5,70,70,0,0,0,1,1,0,0,0,0,0
14,6,84,84,0,0,1,0,0,1,0,0,0,0
14,7,98,98,0,0,1,0,0,1,1,0,0,0
14,8,112,112,0,1,0,1,0,1,0,0,0,0
14,9,126,126,0,1,0,1,0,1,0,1,0,0
14,10,140,140,0,1,1,0,0,0,0,1,0,1
14,11,154,154,0,1,1,0,0,1,0,1,0,1
14,12,168,168,1,0,0,1,0,0,0,1,0,1
14,13,182,182,1,0,0,1,0,1,0,0,0,1
14,14,196,196,1,0,0,1,1,0,0,0,0,1
14,15,210,210,1,0,0,1,1,0,1,0,0,1
15,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,15,15,0,0,0,0,0,0,0,1,0,0
15,2,30,30,0,0,0,0,0,1,0,1,0,0
15,3,45,45,0,0,0,0,1,0,0,1,0,0
15,4,60,60,0,0,0,1,0,1,0,1,0,0
15,5,75,75,0,0,0,1,1,0,0,1,0,0
15,6,90,90,0,0,1,0,0,1,0,1,0,0
15,7,105,105,0,0,1,0,0,1,1,0,1,0
15,8,120,120,0,1,0,1,0,1,0,1,0,0
15,9,135,135,0,1,0,1,1,0,0,0,0,1
15,10,150,150,0,1,1,0,0,1,0,0,0,1
15,11,165,165,0,1,1,0,0,1,1,0,0,1
15,12,180,180,1,0,0,1,0,1,0,0,0,1
15,13,195,195,1,0,0,1,0,1,1,0,0,1
15,14,210,210,1,0,0,1,1,0,1,0,0,1
15,15,225,225,1,0,1,0,0,1,0,1,1,1
